my father and my son,eser sariyar,çetin tekindor,fikret kuskan,hümeyra,ege tanman,serif sezer,yetkin dikinciler,binnur kaya
prisoners,hugh jackman,jake gyllenhaal,viola davis,maria bello,terrence howard,melissa leo,paul dano,dylan minnette
wild tales,darío grandinetti,maría marull,mónica villa,diego starosta,marcelo frasca,lucila mangone,maría laura caccamo,carlos alberto vavassori
the grand budapest hotel,ralph fiennes,f. murray abraham,mathieu amalric,adrien brody,willem dafoe,jeff goldblum,harvey keitel,jude law
stalker,alisa freyndlikh,aleksandr kaydanovskiy,anatoliy solonitsyn,nikolay grinko,natalya abramova,faime jurno,e. kostin,raymo rendi
the deer hunter,robert de niro,john cazale,john savage,christopher walken,meryl streep,george dzundza,chuck aspegren,shirley stoler
the general,buster keaton,marion mack,glen cavender,jim farley,frederick vroom,frank barnes,charles henry smith,joe keaton
gran torino,clint eastwood,christopher carley,bee vang,ahney her,brian haley,geraldine hughes,dreama walker,brian howe
persona,haluk bilginer,cansu dere,metin akdülger,sebnem bozoklu,hüseyin avni danyal,necip memili,senay gürler,ayhan kavas
sherlock jr.,buster keaton,kathryn mcguire,joe keaton,erwin connelly,ward crane,jane connelly,george davis,doris deane
before sunrise,ethan hawke,julie delpy,andrea eckert,hanno pöschl,karl bruckschwaiger,tex rubinowitz,erni mangold,dominik castell
catch me if you can,leonardo dicaprio,tom hanks,christopher walken,martin sheen,nathalie baye,amy adams,james brolin,brian howe
mary and max,christopher massey,oliver marks,daisy kocher,daniel marks,hamish hughes,dan doherty,julie forsyth,mandy mao
mr. smith goes to washington,jean arthur,james stewart,claude rains,edward arnold,guy kibbee,thomas mitchell,eugene pallette,beulah bondi
barry lyndon,ryan o'neal,marisa berenson,patrick magee,hardy krüger,steven berkoff,gay hamilton,marie kean,diana körner
in the name of the father,alison crosbie,daniel day-lewis,philip king,emma thompson,nye heron,anthony brophy,frankie mccafferty,paul warriner
hacksaw ridge,andrew garfield,richard pyros,jacob warner,milo gibson,darcy bryce,roman guerriero,james lugton,kasia stelmach
gone girl,ben affleck,rosamund pike,neil patrick harris,tyler perry,carrie coon,kim dickens,patrick fugit,david clennon
room,brie larson,jacob tremblay,sean bridgers,wendy crewson,sandy mcmaster,matt gordon,amanda brugel,joe pingue
the legend of zorro,alberto reyes,julio oscar mechoso,gustavo sánchez parra,adrian alonso,nick chinlund,giovanna zacarías,carlos cobos,antonio banderas
andhadhun,ayushmann khurrana,tabu,radhika apte,anil dhawan,manav vij,ashwini kalsekar,chhaya kadam,zakhir hussain
the passion of joan of arc,maria falconetti,eugene silvain,andré berley,maurice schutz,antonin artaud,michel simon,jean d'yd,louis ravet
dune,timothée chalamet,rebecca ferguson,oscar isaac,jason momoa,stellan skarsgård,stephen mckinley henderson,josh brolin,javier bardem
ford v ferrari,matt damon,christian bale,jon bernthal,caitriona balfe,josh lucas,noah jupe,tracy letts,remo girone
12 years a slave,chiwetel ejiofor,dwight henry,dickie gravois,bryan batt,ashley dyke,kelsey scott,quvenzhané wallis,cameron zeigler
to be or not to be,carole lombard,jack benny,robert stack,felix bressart,lionel atwill,stanley ridges,sig ruman,tom dugan
the big lebowski,jeff bridges,john goodman,julianne moore,steve buscemi,david huddleston,philip seymour hoffman,tara reid,philip moon
dead poets society,robin williams,robert sean leonard,ethan hawke,josh charles,gale hansen,dylan kussman,allelon ruggiero,james waterston
harry potter and the deathly hallows: part 2,ralph fiennes,michael gambon,alan rickman,daniel radcliffe,rupert grint,emma watson,evanna lynch,domhnall gleeson
ben-hur,charlton heston,jack hawkins,haya harareet,stephen boyd,hugh griffith,martha scott,cathy o'donnell,sam jaffe
how to train your dragon,jay baruchel,gerard butler,craig ferguson,america ferrera,jonah hill,christopher mintz-plasse,t.j. miller,kristen wiig
mad max: fury road,tom hardy,charlize theron,nicholas hoult,hugh keays-byrne,josh helman,nathan jones,zoë kravitz,rosie huntington-whiteley
autumn sonata,ingrid bergman,liv ullmann,lena nyman,halvar björk,marianne aminoff,arne bang-hansen,gunnar björnstrand,erland josephson
million dollar baby,clint eastwood,hilary swank,morgan freeman,jay baruchel,mike colter,lucia rijker,brían f. o'byrne,anthony mackie
